dataset,pool_type,subset,family,hp_name,mean_importance,std_importance,n_seeds,mean_V_m,mean_rank,rank_freq_top1,rank_freq_top3
compas,Rashomon,all,GBM,learning_rate,0.1511086852435413,0.12462999423485858,10,0.0012454725594118574,2.3,0.4,0.8
compas,Rashomon,all,GBM,max_depth,0.14103555924557365,0.06128101195359562,10,0.0012454725594118574,1.8,0.4,1.0
compas,Rashomon,all,GBM,n_estimators,0.12774295519687356,0.09647274328391046,10,0.0012454725594118574,2.3,0.2,0.8
compas,Rashomon,all,GBM,subsample,0.03231969799848148,0.030954836480574465,10,0.0012454725594118574,3.6,0.0,0.4
compas,Rashomon,all,LogReg,C,0.8620473464507702,0.12080001920670062,10,5.982223858097044e-05,1.0,1.0,1.0
compas,Rashomon,all,LogReg,l1_ratio,0.1073165185784529,0.03945603184131447,10,5.982223858097044e-05,2.0,0.0,1.0
compas,Rashomon,all,MLP,learning_rate_init,0.2657569121877331,0.12167345156411087,10,0.0012558569401979606,1.6,0.7,0.9
compas,Rashomon,all,MLP,hidden_layer_sizes,0.18051261176785743,0.07833161076399649,10,0.0012558569401979606,2.1,0.1,1.0
compas,Rashomon,all,MLP,alpha,0.15872913047394804,0.1299910961223897,10,0.0012558569401979606,2.6,0.2,0.8
compas,Rashomon,all,MLP,activation,0.027777370992461185,0.028750880771958236,10,0.0012558569401979606,3.7,0.0,0.3
compas,Rashomon,all,RF,max_depth,0.3334151406727774,0.2119427385254623,10,0.0032786557604935077,1.6,0.7,0.9
compas,Rashomon,all,RF,min_samples_leaf,0.11297918574321283,0.10704735187331241,10,0.0032385363885786686,2.9,0.1,0.7
compas,Rashomon,all,RF,min_samples_split,0.10751794708636,0.1006678027709625,10,0.0032385363885786686,3.1,0.0,0.6
compas,Rashomon,all,RF,max_features,0.10290140245669162,0.1341672878144492,10,0.003111161373413089,3.6,0.2,0.4
compas,Rashomon,all,RF,n_estimators,0.0428676562311092,0.04399818352527694,10,0.0032385363885786686,3.8,0.0,0.4
compas,Rashomon,all,kNN,n_neighbors,0.7325092450094723,0.27246827611441715,10,0.010692453277963337,1.3,0.7,1.0
compas,Rashomon,all,kNN,weights,0.6265183780743876,0.27104537035886245,6,0.011568678402386701,1.5,0.5,1.0
compas,Rashomon,all,kNN,p,0.02526344046995067,0.031041354546788497,10,0.010692453277963337,2.6,0.0,1.0
